Data Godzina,Numer,Opis,Typ,Miejsce,Status,Kwota Mandatu,Data Zakończenia
2018-01-11 07:05:40,INT-01245/18,na osiedlu pojazdy parkują utrudniając przejazd.,NIEPRAWIDŁOWE PARKOWANIE,SZYBKA 1A-1F/,100,,2018-01-11 12:06:10
2018-01-11 07:05:40,INT-01245/18,na osiedlu pojazdy parkują utrudniając przejazd.,NIEPRAWIDŁOWE PARKOWANIE,SZYBKA 1A-1F/,0,,2018-01-11 12:06:10
2018-01-11 08:10:00,INT-01870/18,parkowanie na kopercie przeznaczonej dla samochodów elektrycznych,NIEPRAWIDŁOWE PARKOWANIE,PLAC SOLNY /,0,,2018-01-15 16:09:09
2018-01-11 08:20:36,INT-01252/18,Pojazdy nieuprawnione na miejscach dla osób niepełnosprawnych.Wg.zgłaszającego miejsca oznakowane prawidłowo.,NIEPRAWIDŁOWE PARKOWANIE,ZAKŁADOWA 9N-9K/,500,,2018-01-11 11:09:44
2018-01-11 08:20:36,INT-01252/18,Pojazdy nieuprawnione na miejscach dla osób niepełnosprawnych.Wg.zgłaszającego miejsca oznakowane prawidłowo.,NIEPRAWIDŁOWE PARKOWANIE,ZAKŁADOWA 9N-9K/,0,,2018-01-11 11:09:44
2018-01-11 08:41:27,INT-01258/18,duża ilość pojazdów parkuje za b-36,NIEPRAWIDŁOWE PARKOWANIE,REJA 72/,100,,2018-01-11 10:02:28
2018-01-11 08:46:52,INT-01261/18,Wagnera przy nr. K2-A6 trzy pojazdy za znakiem B-36 T-24.,NIEPRAWIDŁOWE PARKOWANIE,WAGNERA K2-A6/,100,,2018-01-11 10:57:59
2018-01-11 10:03:56,INT-01280/18,Pojazdy bez uprawnień zaparkowane na kopertach dla pojazdów elektrycznych,NIEPRAWIDŁOWE PARKOWANIE,PLAC SOLNY /,100,,2018-01-11 11:36:01
2018-01-11 10:03:56,INT-01280/18,Pojazdy bez uprawnień zaparkowane na kopertach dla pojazdów elektrycznych,NIEPRAWIDŁOWE PARKOWANIE,PLAC SOLNY /,0,,2018-01-11 11:36:01
2018-01-11 10:20:00,INT-01376/18,Parkowanie za B-35 powyżej 15 min i na skrzyżowaniu,NIEPRAWIDŁOWE PARKOWANIE,DOBRA /,0,,2018-01-11 17:58:51
2018-01-11 10:30:00,INT-01343/18,handel na terenie gminy bez zezwolenia,HANDEL,SKARBOWCÓW /,MANDAT,50,2018-01-11 14:59:47
2018-01-11 10:45:00,INT-01758/18,PARKOWANIE POJAZDU ZA B 36 I T24,NIEPRAWIDŁOWE PARKOWANIE,PL.SOLNY /,MANDAT,100,2018-01-14 18:19:29
2018-01-11 10:59:19,INT-01291/18,1. Chrzanowskiego 11 i 18 pojazdy w strefie D-402.Makuszyńskiego- Chrzanowskiego przy żłobku - postój na skrzyżowaniu Makuszyńskiego- Filomatów pojazdy w strefie D-40 poza miejscami wyznaczonymi,NIEPRAWIDŁOWE PARKOWANIE,"CHRZANOWSKIEGO 11 ,18/",100,,2018-01-11 14:14:07
2018-01-11 10:59:19,INT-01291/18,1.Chrzanowskiego 11 i 18 pojazdy w strefie D-402.Makuszyńskiego- Chrzanowskiego przy żłobku - postój na skrzyżowaniu3.Makuszyńskiego- Filomatów pojazdy w strefie D-40 poza miejscami wyznaczonymi,NIEPRAWIDŁOWE PARKOWANIE,"CHRZANOWSKIEGO 11 ,18/",0,,2018-01-11 14:14:07
2018-01-11 11:00:00,INT-02018/18,handel na terenie gminnym bez zgody ,HANDEL,JEMIOŁOWA /,MANDAT,50,2018-01-16 16:22:38
2018-01-11 11:10:00,INT-01562/18,KONTROLA WJAZDU ZA B1 UL ŚWIDNICKA,NIEPRAWIDŁOWE PARKOWANIE,ŚWIDNICKA /,MANDAT,100,2018-01-12 18:18:18
2018-01-11 11:29:11,INT-01298/18,pojazd audi parkuje na trawniku,NISZCZENIE ZIELENI,PRZYSTANKOWA 6/,0,,2018-01-11 12:37:07
2018-01-11 11:50:00,INT-01760/18,PARKOWANIE POJAZDU ZA B-36 I T 24,NIEPRAWIDŁOWE PARKOWANIE,SZEWSKA /,MANDAT,100,2018-01-14 18:39:40
2018-01-11 11:55:00,INT-01759/18,PARKOWANIE POJAZDU NA JEZDNI ZA B 36,NIELEGALNY POŁÓW RYB,WITA STWOSZA /,MANDAT,100,2018-01-14 18:32:20
2018-01-11 12:00:00,INT-01774/18,PAROWANIE POJAZDU W STREFIE ZAMIESZKANIA POZA MIEJCEM WYZNACZONYM,NIEPRAWIDŁOWE PARKOWANIE,RYNEK /,MANDAT,100,2018-01-14 18:24:22
2018-01-11 12:05:00,INT-01295/18,Racławicka- Jastrzębia 2 pojazdy stoją na skrzyżowaniu.,NIEPRAWIDŁOWE PARKOWANIE,RACŁAWICKA /,300,,2018-01-11 12:28:18
2018-01-11 12:05:00,INT-01295/18,Racławicka- Jastrzębia 2 pojazdy stoją na skrzyżowaniu.,NIEPRAWIDŁOWE PARKOWANIE,RACŁAWICKA /,0,,2018-01-11 12:28:18
2018-01-11 12:12:39,INT-01303/18,Komandorska na przeciw Dach Budu pojazd zaparkowany na jezdni za B-36 + T-24 dodatkowo przy przejściu dla pieszych utrudnia przejazd,NIEPRAWIDŁOWE PARKOWANIE,KOMANDORSKA /,100,,2018-01-11 15:42:33
2018-01-11 12:26:41,INT-01307/18,Wieczysta -plac Zamenhofa pojazdy zaparkowane na ciągu pieszo-rowerowym.,NIEPRAWIDŁOWE PARKOWANIE,WIECZYSTA /,0,,2018-01-11 13:32:15
2018-01-11 14:55:00,INT-01380/18,Parkowanie w odległości mniejszej niż 10 m od przejścia dla pieszych oraz na trawniku,NIEPRAWIDŁOWE PARKOWANIE,GAJOWA /,100,,2018-01-11 18:08:50
2018-01-11 14:55:00,INT-01380/18,Parkowanie w odległości mniejszej niż 10 m od przejścia dla pieszych oraz na trawniku,NIEPRAWIDŁOWE PARKOWANIE,GAJOWA /,0,,2018-01-11 18:08:50
2018-01-11 15:00:00,INT-01403/18,parkowanie za b-36,BLOKADA,PRETFICZA /,100,,2018-01-11 21:17:21
2018-01-11 15:40:00,INT-01368/18,parkowanie w strefie zamieszkania poza miejscami wyznaczonymi do parkowania,BLOKADA,OFIAR OŚWIĘCIMSKICH /,100,,2018-01-11 17:12:15
2018-01-11 15:40:00,INT-01368/18,parkowanie w strefie zamieszkania poza miejscami wyznaczonymi do parkowania,BLOKADA,OFIAR OŚWIĘCIMSKICH /,500,,2018-01-11 17:12:15
2018-01-11 15:40:00,INT-01368/18,parkowanie w strefie zamieszkania poza miejscami wyznaczonymi do parkowania,BLOKADA,OFIAR OŚWIĘCIMSKICH /,0,,2018-01-11 17:12:15
2018-01-11 15:45:00,INT-01319/18,Krawiecka na całej długości pojazdy zaparkowane za B-36 utrudniają przejazd,NIEPRAWIDŁOWE PARKOWANIE,KRAWIECKA /,MANDAT,100,2018-01-11 16:15:13
2018-01-11 15:45:00,INT-01319/18,Krawiecka na całej długości pojazdy zaparkowane za B-36 utrudniają przejazd,NIEPRAWIDŁOWE PARKOWANIE,KRAWIECKA /,MANDAT,0,2018-01-11 16:15:13
2018-01-11 16:00:00,INT-01382/18,Parkowanie za B-36,NIEPRAWIDŁOWE PARKOWANIE,SZPITALNA /,0,,2018-01-11 18:13:38
2018-01-11 16:23:11,INT-01361/18,Pojazdy zaparkowane w strefie zamieszkania poza miejscami wyznaczonymi,NIEPRAWIDŁOWE PARKOWANIE,TĘCZOWA 89/,0,,2018-01-11 18:10:03
2018-01-11 16:30:00,INT-02212/18,b1,BEZPIECZEŃSTWO W KOMUNIKACJI,BEMA /,MANDAT,100,2018-01-18 07:17:57
2018-01-11 16:30:00,INT-02019/18,PARKOWANBIE NA KOPRECIE DLA OSÓB NIEPEŁNOSPRAWNYCH BEZ UPRAWNIEN,NIEPRAWIDŁOWE PARKOWANIE,PLAC SOLNY /,POUCZENIE,0,2018-01-16 16:36:12
2018-01-11 16:50:00,INT-02016/18,wjazd pojazdu za B-1,BEZPIECZEŃSTWO W KOMUNIKACJI,MOSTY MŁYŃSKIE /,MANDAT,50,2018-01-16 16:14:36
2018-01-11 16:50:00,INT-02016/18,wjazd pojazdu za B-1,BEZPIECZEŃSTWO W KOMUNIKACJI,MOSTY MŁYŃSKIE /,MANDAT,100,2018-01-16 16:14:36
2018-01-11 17:30:00,INT-01751/18,HANDEL NA TERENIE PARKU KULTUROWEGO ,HANDEL,PRZEJŚCIE WINOGRONOWE /,MANDAT,100,2018-01-14 17:46:21
2018-01-11 17:35:00,INT-01753/18,ROZDAWANIE ULOTEK NA TERENIE PARKU KULTUROWEGO,PLAKATY (REKLAMY),PL.DOMINIKAŃSKI /,MANDAT,100,2018-01-14 17:55:40
2018-01-11 18:18:43,INT-01563/18,WJAZD ZA B1 P LAC SOLNY,NIEPRAWIDŁOWE PARKOWANIE,PLAC SOLNY /,MANDAT,50,2018-01-12 18:27:22
2018-01-11 19:00:00,INT-02024/18,PARKOWANIE NA KOPERCIE PRZEZNACZONEJ DLA SM,NIEPRAWIDŁOWE PARKOWANIE,ANTONIEGO /,POUCZENIE,0,2018-01-16 16:52:05
2018-01-11 20:00:00,INT-01752/18,SPOŻYWANIE ALKOHOLU W MIEJSCU ZABRONIONYM,SPOŻYWANIE ALKOHOLU,RYNEK /,MANDAT,100,2018-01-14 17:52:22
2018-01-11 20:07:47,INT-01393/18,"pojazd ciężarowy zaparkowany na trawniku, niszczy zieleń",NISZCZENIE ZIELENI,WOLBROMSKA 3/,WEZWANIE,0,2018-01-11 23:24:08
2018-01-11 21:26:32,INT-01404/18,pojazdy na miejscach dla niepełnosprawnych,NIEPRAWIDŁOWE PARKOWANIE,JESIONOWA 72/,500,,2018-01-12 00:09:53
2018-01-11 21:54:32,INT-01406/18,pojazd blokuje pas ruchu,NIEPRAWIDŁOWE PARKOWANIE,MARII MAGDALENY /,LAWETA,100,2018-01-11 23:30:38
2018-01-11 21:54:32,INT-01406/18,pojazd blokuje pas ruchu,NIEPRAWIDŁOWE PARKOWANIE,MARII MAGDALENY /,LAWETA,0,2018-01-11 23:30:38
2018-01-12 00:02:57,INT-01412/18,Peugeot zablokował wyjazd z miejsca postoju na chodniku.,Zablokowany wyjazd,CZARNIECKIEGO 41/,OSTRZEŻENIE,0,2018-01-12 00:47:18
2018-01-12 09:27:07,INT-01434/18,parkowanie pojazdów na pasach wyłączonych z ruchu,NIEPRAWIDŁOWE PARKOWANIE,WIELKA 26-28/,100,,2018-01-12 10:34:27
2018-01-12 09:55:00,INT-01444/18,postój pojazdu w miejscu obowiązywania znaku b-36,NIEPRAWIDŁOWE PARKOWANIE,WANILIOWA 20/,100,,2018-01-12 10:21:20
