Data Godzina,Numer,Opis,Typ,Miejsce,Status,Kwota Mandatu,Data Zakończenia
2018-09-06 09:56:39,INT-33694/18,"Przy salonie Opla z ciężarówki zdejmowane są samochody, na jezdni robi się zator.",BEZPIECZEŃSTWO W KOMUNIKACJI,MUCHOBORSKA /,POUCZENIE,0,2018-09-06 10:34:47
2018-09-06 10:30:00,INT-33733/18,parkowanie pojazdów w miejscu obowiązywania znaku B-36,NIEPRAWIDŁOWE PARKOWANIE,POWSTAŃCÓW WARSZAWY /,MANDAT,0,2018-09-06 14:22:13
2018-09-06 10:31:45,INT-33703/18,"przy USC, TAXI- zaparkowane pojazdy nieuprawnione.",NIEPRAWIDŁOWE PARKOWANIE,WŁODKOWICA /,100,,2018-09-06 11:56:45
2018-09-06 10:42:40,INT-33706/18,"Grabiszyńska a Hallera po stronie galerii, na chodniku stoisko warzywa- owoce.",HANDEL,GRABISZYŃSKA /,50,,2018-09-06 12:38:32
2018-09-06 11:20:00,INT-33715/18,ul. św. Doroty i Plac Franciszkański pojazdy zaparkowane na chodniku za znakiem B-36 i T-24,NIEPRAWIDŁOWE PARKOWANIE,ŚW. DOROTY /,100,,2018-09-06 12:05:29
2018-09-06 11:40:00,INT-33802/18,postój na trawniku - niszczenie roślinności ,NISZCZENIE ZIELENI,KRZEMIENIECKA 116/,WEZWANIE,50,2018-09-07 08:41:27
2018-09-06 11:59:21,INT-33713/18,"a ul. Strzegomska, parkowanie pojazdów na chodniku- brak przejścia.",NIEPRAWIDŁOWE PARKOWANIE,JAWORSKA /,100,,2018-09-06 16:01:51
2018-09-06 11:59:21,INT-33713/18,"a ul. Strzegomska, parkowanie pojazdów na chodniku- brak przejścia.",NIEPRAWIDŁOWE PARKOWANIE,JAWORSKA /,0,,2018-09-06 16:01:51
2018-09-06 12:01:29,INT-33714/18,Za znakiem B-36 przy CH Zajezdnia stoi około 10 pojazdów,NIEPRAWIDŁOWE PARKOWANIE,GRABISZYŃSKA 184/,100,,2018-09-06 17:43:40
2018-09-06 12:53:39,INT-33725/18,"a ul. Grodzka, parkowanie na chodniku,brak przejścia- Nissan Micra.",NIEPRAWIDŁOWE PARKOWANIE,WIĘZIENNA /,MANDAT,100,2018-09-06 17:57:00
2018-09-06 13:59:59,INT-33731/18,Wpłynęło pismo od Zarządu Portu Lotniczego o dzikim wysypisku śmieci przy rzece Ługowina ZO.4042.607.2018.ASSPRAWĘ PRZEKAZANO DO OSKARŻYCIELA PUBL.,PORZĄDKOWA,RAKIETOWA /,0,,2018-09-06 14:00:26
2018-09-06 14:20:00,INT-33795/18,kontrola parkowania pojazdów za znakiem B-35 (powyżej 15minut),NIEPRAWIDŁOWE PARKOWANIE,ZIEMOWITA /,100,,2018-09-07 08:14:50
2018-09-06 15:27:39,INT-33739/18,Białoskórnicza a św.Mikołaja biały Mercedes blokuje ścieżkę rowerową.,NIEPRAWIDŁOWE PARKOWANIE,BIAŁOSKÓRNICZA /,MANDAT,100,2018-09-06 16:21:24
2018-09-06 15:39:03,INT-33740/18,Zablokowany wyjazd z parkingu przez Audi i Seata,Zablokowany wyjazd,STARGARDZKA 2C/,POUCZENIE,0,2018-09-06 16:38:52
2018-09-06 17:40:00,INT-33792/18,a ul. Trzmielowicka rozwieszanie plakatów na słupach bez zgody ,PLAKATY (REKLAMY),ŚREDZKA /,MANDAT,100,2018-09-07 07:38:21
2018-09-06 18:00:42,INT-33760/18,Na całej szerokości chodnika stoją 3 auta.,NIEPRAWIDŁOWE PARKOWANIE,ŁAZIENNA /,MANDAT,100,2018-09-06 19:29:00
2018-09-06 18:00:42,INT-33760/18,Na całej szerokości chodnika stoją 3 auta.,NIEPRAWIDŁOWE PARKOWANIE,ŁAZIENNA /,MANDAT,0,2018-09-06 19:29:00
2018-09-06 18:10:00,INT-33794/18,rozwieszanie plakatów na słupach oświetleniowych ,PLAKATY (REKLAMY),NOWOWIEJSKA /,MANDAT,100,2018-09-07 07:59:38
2018-09-06 19:55:18,INT-33773/18,"pojazd BMW zablokował wjazd na posesje, zgłaszający na miejscu ",Zablokowany wyjazd,KAZIMIERZA WIELKIEGO 46/,MANDAT,100,2018-09-06 20:27:28
2018-09-07 06:55:00,INT-33786/18,PARKOWANIE ZA B-36 . G. 9.25 ZAKŁADOWA 9N - 11 POJAZDY ZA B-36. ,NIEPRAWIDŁOWE PARKOWANIE,ZAKŁADOWA 9M/,100,,2018-09-07 10:23:42
2018-09-07 07:25:48,INT-33791/18,"Niezabezpieczony, nieogrodzony teren budowy.",PORZĄDKOWA,GRAWERSKA 24/,BEZ UWAG,200,2018-09-17 10:51:39
2018-09-07 08:34:20,INT-33798/18,MIĘDZY BUDYNKIE C a F NA MIEJSCU DLA NIEPEŁNOSPRAWNYCH POJAZD VW SREBRNY NA NIEMIECKICH TABLICACH REJESTRACYJNYCH ,NIEPRAWIDŁOWE PARKOWANIE,GRANICZNA 2CF/,MANDAT,500,2018-09-07 09:47:51
2018-09-07 09:50:00,INT-33821/18,PARKOWANIE ZA b-36,NIEPRAWIDŁOWE PARKOWANIE,SIKORSKIEGO 5/,100,,2018-09-07 11:59:22
2018-09-07 09:50:00,INT-33821/18,PARKOWANIE ZA b-36,NIEPRAWIDŁOWE PARKOWANIE,SIKORSKIEGO 5/,0,,2018-09-07 11:59:22
2018-09-07 09:58:02,INT-33809/18,róg ul. szczęśliwej parkowanie za b36. ,NIEPRAWIDŁOWE PARKOWANIE,GWIAŹDZISTA /,100,,2018-09-07 13:06:58
2018-09-07 10:15:00,INT-34015/18,Postój za B1,NIEPRAWIDŁOWE PARKOWANIE,SUKIENNICE 9/,WEZWANIE,0,2018-09-09 07:55:32
2018-09-07 10:30:00,INT-33819/18,"parkowanie pojazdów na chodniku, brak 1,5m przejścia dla pieszych , B-36",NIEPRAWIDŁOWE PARKOWANIE,LEGNICKA 40/,0,,2018-09-07 11:42:23
2018-09-07 10:32:11,INT-33812/18,HANDEL BEZ ZEZWOLENIA,HANDEL,JEMIOŁOWA /,50,,2018-09-07 11:53:45
2018-09-07 10:55:00,INT-33822/18,parkowania za B-36,NIEPRAWIDŁOWE PARKOWANIE,ŚLĘŻNA /,100,,2018-09-07 12:06:03
2018-09-07 10:55:00,INT-33822/18,parkowania za B-36,NIEPRAWIDŁOWE PARKOWANIE,ŚLĘŻNA /,0,,2018-09-07 12:06:03
2018-09-07 11:40:41,INT-33818/18,"a Grabiszyńska, po stronie Tarasów Grabiszyńskich, stoisko handlowe owoce/warzywa",HANDEL,HALLERA /,100,,2018-09-07 12:33:03
2018-09-07 11:50:00,INT-34023/18,Handel na terenie parku kulturowego,HANDEL,OŁAWSKA /,MANDAT,100,2018-09-09 10:12:46
2018-09-07 11:50:00,INT-34023/18,Handel na terenie parku kulturowego,HANDEL,OŁAWSKA /,MANDAT,50,2018-09-09 10:12:46
2018-09-07 12:46:38,INT-33828/18,na terenie posesji spalanie odpadów - zadymienie,OGNISKO,ZAKOPIAŃSKA 28/,MANDAT,100,2018-09-10 08:05:46
2018-09-07 14:38:01,INT-33839/18,PARKOWANIE PRZY TUTTI FRUTTI NA ZAKAZIE,NIEPRAWIDŁOWE PARKOWANIE,PLAC KOŚCIUSZKI /,0,,2018-09-07 15:06:13
2018-09-07 15:21:39,INT-33842/18,POJAZDY ZA B-36,NIEPRAWIDŁOWE PARKOWANIE,MALARSKA /,0,,2018-09-07 15:42:00
2018-09-07 15:40:00,INT-34014/18,Postój za B1,NIEPRAWIDŁOWE PARKOWANIE,KUŹNICZA /,WEZWANIE,0,2018-09-09 07:50:54
2018-09-07 15:55:26,INT-33846/18,PRZY WJEŹDZIE NA PARKING PARKOWANIE ZA B36,NIEPRAWIDŁOWE PARKOWANIE,KS.WITOLDA 4/,100,,2018-09-07 17:33:43
2018-09-07 15:55:26,INT-33846/18,PRZY WJEŹDZIE NA PARKING PARKOWANIE ZA B36,NIEPRAWIDŁOWE PARKOWANIE,KS.WITOLDA 4/,0,,2018-09-07 17:33:43
2018-09-07 16:10:00,INT-33861/18,Spożywanie alkoholu w miejscu objętym zakazem,SPOŻYWANIE ALKOHOLU,PARK STABŁOWICKI /,MANDAT,100,2018-09-10 08:08:22
2018-09-07 16:30:00,INT-34021/18,Kontrola parkowania pojazdów za B36,NIEPRAWIDŁOWE PARKOWANIE,SZEWSKA /,MANDAT,100,2018-09-09 10:06:35
2018-09-07 16:40:00,INT-33864/18,Podczas przejazdu zauważono mężczyznę zanieczyszczającego miejsce publiczne,PORZĄDKOWA,PLAC KALISKI /,MANDAT,50,2018-09-11 08:41:04
