Data Godzina,Numer,Opis,Typ,Miejsce,Status,Kwota Mandatu,Data Zakończenia
2018-03-21 05:01:06,INT-12131/18,2 POJAZDY ZAPASRKOWANE ZA B36 BLOKUJĄ PRZEJAZD NA BUDOWĘ POJAZDÓW CIĘŻASROWYCH Z MATERIAŁAMI NA BUDOWĘ,NIEPRAWIDŁOWE PARKOWANIE,ZYNDRAMA Z MASZKOWIC /,100,,2018-03-21 07:14:53
2018-03-21 06:07:18,INT-12133/18,"Pojazdy nieuprawnione na kopertach dla pracowników ZETO,zgłaszający w recepcji.",NIEPRAWIDŁOWE PARKOWANIE,OFIAR OŚWIĘCIMSKICH 7-13/,OSTRZEŻENIE,0,2018-03-21 07:43:41
2018-03-21 06:31:10,INT-12134/18,"AUDI z włączonym alarmem stoi za zn.B-36;T-24., oraz 3 inne pojazdy  ",NIEPRAWIDŁOWE PARKOWANIE,SREBRNOGÓRSKA 3-9/,100,,2018-03-21 15:01:46
2018-03-21 07:35:26,INT-12144/18,Kontrole lokali gastronomicznych pod kontem deratyzacji i kart przekazania odpadów z działalności. Part Kulturowy. ZO.4010.1146.2018.ML,PORZĄDKOWA,KUŹNICZA 25F/,MANDAT,250,2018-03-21 09:33:45
2018-03-21 07:37:42,INT-12141/18,KOPERTY DLA ZZK ZAJĘTE PRZEZ POJAZDY,NIEPRAWIDŁOWE PARKOWANIE,ŚW. ELŻBIETY 3/,OSTRZEŻENIE,0,2018-03-21 08:07:01
2018-03-21 08:05:11,INT-12145/18,parkowanie za D-40 na odcinku od Czekoladowej do Sezamkowej,NIEPRAWIDŁOWE PARKOWANIE,CUKROWA /,100,,2018-03-21 19:21:22
2018-03-21 08:45:00,INT-12614/18,NIEPRAWIDŁOWE PARKOWANIE ZA ZAKAZAM B- 36,NIEPRAWIDŁOWE PARKOWANIE,SZEWSKA /,MANDAT,100,2018-03-23 11:07:14
2018-03-21 08:57:08,INT-12153/18,parkowanie pojazdu nieuprawnionego na kopercie dla sądu,NIEPRAWIDŁOWE PARKOWANIE,ENERGETYCZNA 4/,100,,2018-03-21 12:15:10
2018-03-21 09:20:00,INT-12256/18,ZNAK B1,BEZPIECZEŃSTWO W KOMUNIKACJI,RYNEK RATUSZ /,POUCZENIE,0,2018-03-21 15:48:57
2018-03-21 09:35:00,INT-12261/18,ZNAK B36 T24,NIEPRAWIDŁOWE PARKOWANIE,PLAC SOLNY /,POUCZENIE,0,2018-03-21 16:06:27
2018-03-21 09:35:31,INT-12167/18,ul. Benedyktyńska a ul. Sępa -Szarzyńskiego pojazdy parkują na skrzyżowaniu,NIEPRAWIDŁOWE PARKOWANIE,BENEDYKTYŃSKA /,LAWETA,0,2018-03-21 10:29:38
2018-03-21 09:36:42,INT-12168/18,postój w strefie zamieszkania poza miejscem wyznaczonym za znakiem B-1,NIEPRAWIDŁOWE PARKOWANIE,ŚW. MIKOŁAJA /,0,,2018-03-21 09:36:46
2018-03-21 09:51:22,INT-12173/18,"ul. Piłsudskiego a ul. Sądowa duże stoisko handlowe bez zezwolenia, ",HANDEL,PIŁSUDSKIEGO /,MANDAT,50,2018-03-21 11:10:07
2018-03-21 09:55:00,INT-13239/18,parkowanie za B36,NIEPRAWIDŁOWE PARKOWANIE,WITA STWOSZA /,100,,2018-03-27 07:10:29
2018-03-21 10:00:00,INT-12295/18,kontrola ruchu za B-1,BEZPIECZEŃSTWO W KOMUNIKACJI,MOSTY MŁYŃSKIE /,MANDAT,100,2018-03-21 18:38:58
