Data Godzina,Numer,Opis,Typ,Miejsce,Status,Kwota Mandatu,Data Zakończenia
2016-01-02 09:40:18,INT-00049/16,PARKOWANIE ZA D-40 W MIEJSCU NIEWYZNACZONYM,NIEPRAWIDŁOWE ,PARKOWANIE,RODZINNA 23/,0,2016-01-02 10:46:33
2016-01-02 10:19:59,INT-00052/16,pojazd zaparkowany w miejscu niewyznaczonym na zakazie - WV Polo ,NIEPRAWIDŁOWE PARKOWANIE,STRZEGOMSKA 292/,0,,2016-01-02 10:45:56
2016-01-02 14:15:15,INT-00077/16,"pomiędzy Rostaffińskiego a Rydygiera parkowanie na skrzyżowaniu + na zakazie, utrudniony przejazd",NIEPRAWIDŁOWE PARKOWANIE,PAULIŃSKA /,OSTRZEŻENIE,0,2016-02-09 13:19:30
2016-01-02 14:16:31,INT-00078/16,"POMIĘDZY DRUKARSKĄ A KOMANDORSKĄ PARKOWANIE NA CHODNIKU BRAK 1,5 ORAZ PRZED PRZEJŚCIEM DLA PIESZYCH",NIEPRAWIDŁOWE PARKOWANIE,WIELKA /,100,,2016-01-02 14:35:22
2016-01-02 15:46:59,INT-00089/16,PARKOWANIE W MIEJSCU TAXI BEZ UPRAWNIEŃ,NIEPRAWIDŁOWE PARKOWANIE,MODRZEJEWSKIEJ /,100,,2016-01-02 19:06:59
2016-01-02 15:46:59,INT-00089/16,PARKOWANIE W MIEJSCU TAXI BEZ UPRAWNIEŃ,NIEPRAWIDŁOWE PARKOWANIE,MODRZEJEWSKIEJ /,0,,2016-01-02 19:06:59
2016-01-02 16:32:17,INT-00094/16,nieprawidłowe parkowanie pojazdów,NIEPRAWIDŁOWE PARKOWANIE,KSIĘGOWA /,0,,2016-01-02 18:41:57
2016-01-02 19:33:49,INT-00107/16,parkowanie na postoju taxi,NIEPRAWIDŁOWE PARKOWANIE,NASYPOWA /,0,,2016-01-02 21:08:11
2016-01-02 19:46:18,INT-00108/16,parkowanie na zakazie ,NIEPRAWIDŁOWE PARKOWANIE,WŁODKOWICA 3-13/,100,,2016-01-03 06:31:19
2016-01-02 19:46:18,INT-00108/16,parkowanie na zakazie ,NIEPRAWIDŁOWE PARKOWANIE,WŁODKOWICA 3-13/,0,,2016-01-03 06:31:19
