Data Godzina,Numer,Opis,Typ,Miejsce,Status,Kwota Mandatu,Data Zakończenia
2016-10-18 06:55:52,INT-38888/16,BLIŻEJ UL. OLSZEWSKIEGO POJAZD MARKI REANULT MEGANE ZAPARKOWANY W POPRZEK CHODNIKA.,NIEPRAWIDŁOWE PARKOWANIE,GERSONA /,,100,2016-10-18 08:15:18
2016-10-18 07:45:00,INT-39021/16,palenie tytoniu w miejscu zabronionym.,PALENIE TYTONIU W MIEJSCACH  ZABRONIONYCH,KRĘPICKA /,,0,2016-10-18 17:16:55
2016-10-18 08:31:04,INT-38896/16,na pętli MPK przy Dworcu Świebodzkim parkuje Audi utrudniając ruch.,NIEPRAWIDŁOWE PARKOWANIE,ROBOTNICZA /,MANDAT,100,2016-10-18 12:07:45
2016-10-18 08:31:04,INT-38896/16,na pętli MPK przy Dworcu Świebodzkim parkuje Audi utrudniając ruch.,NIEPRAWIDŁOWE PARKOWANIE,ROBOTNICZA /,MANDAT,0,2016-10-18 12:07:45
2016-10-18 09:18:11,INT-38904/16,na miejscach dla autobusów parkują pojazdy nieuprawnione.,NIEPRAWIDŁOWE PARKOWANIE,PLAC MUZEALNY 20/,,100,2016-10-18 10:42:05
2016-10-18 09:18:11,INT-38904/16,na miejscach dla autobusów parkują pojazdy nieuprawnione.,NIEPRAWIDŁOWE PARKOWANIE,PLAC MUZEALNY 20/,,0,2016-10-18 10:42:05
2016-10-18 09:40:00,INT-38920/16,B-36,NIEPRAWIDŁOWE PARKOWANIE,NOWOWIEJSKA /,MANDAT,100,2016-10-18 10:47:16
2016-10-18 09:40:00,INT-39058/16,Zanieczyszczony wjazd i wyjazd z budowy.,PORZĄDKOWA,KAMIEŃSKIEGO /,MANDAT,200,2016-10-19 06:29:23
2016-10-18 10:05:00,INT-39059/16,"Podczas współpracy z pracownikami MPK, zauważono dwie osoby palace papierosy na przystanku pl. Strzegomski.",PALENIE TYTONIU W MIEJSCACH  ZABRONIONYCH,PL. STRZEGOMSKI /,SĄD,0,2016-10-19 15:13:00
2016-10-18 10:50:00,INT-38998/16,niszczenie roślinności.,NISZCZENIE ZIELENI,ROGOWSKA /,,50,2016-10-18 15:01:43
2016-10-18 11:14:09,INT-38926/16,PARKOWANIE ZA B-36 T-24,LAWETY,BIAŁOSKÓRNICZA /,,100,2016-10-18 11:14:13
2016-10-18 11:20:00,INT-38944/16,Handel na terenie gminy bez zezwolenia.,HANDEL,GUBIŃSKA /,MANDAT,100,2016-10-18 13:06:42
2016-10-18 11:40:00,INT-39428/16,a Skoczylasa postój pojazdu w odległości mniejszej niż 10m od skrzyżowania,NIEPRAWIDŁOWE PARKOWANIE,RUBCZAKA /,,0,2016-10-21 13:57:10
2016-10-18 11:56:00,INT-39020/16,wypalanie gałęzi,"WYPALANIE, OGNISKO",CHOCIEBUSKA /,,0,2016-10-18 17:12:23
2016-10-18 12:15:49,INT-38933/16,vis a vis nr 15 stoisko nielegalnego handlu.,HANDEL,HORBACZEWSKIEGO /,,50,2016-10-18 13:36:48
2016-10-18 12:45:00,INT-39069/16,Handel na terenie gminy bez zezwolenia,HANDEL,STRZEGOMSKA /,MANDAT,100,2016-10-19 08:55:22
2016-10-18 12:45:00,INT-38948/16,Handel na terenie  Gminy bez zezwolenia ul. Skarbowców,HANDEL,SKARBOWCÓW /,MANDAT,50,2016-10-18 13:13:56
2016-10-18 12:55:15,INT-38943/16,"a Komandorska, samochody nieuprawnione parkują na postoju taxi.",NIEPRAWIDŁOWE PARKOWANIE,BOGUSŁAWSKIEGO /,,0,2016-10-18 19:42:19
2016-10-18 14:00:00,INT-39026/16,Parkowanie za B-36,BLOKADA,GWIAŹDZISTA /,,100,2016-10-18 18:04:28
2016-10-18 14:00:00,INT-39026/16,Parkowanie za B-36,BLOKADA,GWIAŹDZISTA /,,0,2016-10-18 18:04:28
2016-10-18 14:20:00,INT-39027/16,Parkowanie za B-36,BLOKADA,KOMANDORSKA /,,100,2016-10-18 18:06:04
2016-10-18 14:20:00,INT-39027/16,Parkowanie za B-36,BLOKADA,KOMANDORSKA /,,0,2016-10-18 18:06:04
2016-10-18 15:09:20,INT-39002/16,Zablokowany wyjazd z posesji.,NIEPRAWIDŁOWE PARKOWANIE,SIELSKA 16A/,LAWETA,100,2016-10-18 17:26:28
2016-10-18 15:10:00,INT-39028/16,Parkowanie za B-36,BLOKADA,SPADOCHRONIARZY /,,100,2016-10-18 18:08:11
2016-10-18 15:20:00,INT-39030/16,Parkowanie za B-36,BLOKADA,SZTABOWA /,,100,2016-10-18 18:09:36
2016-10-18 15:50:00,INT-39025/16,handel na terenie Parku Kulturowego,HANDEL,OŁAWSKA /,MANDAT,100,2016-10-18 17:48:36
2016-10-18 16:20:00,INT-39080/16,postój pojazdu na trawniku,NISZCZENIE ZIELENI,OPOLSKA /,MANDAT,50,2016-10-19 09:41:49
2016-10-18 16:56:34,INT-39017/16,Pozostały po remoncie długi krawęznik leżący obecnie na jezdni.,PORZĄDKOWA,PLAC KOŚCIUSZKI 10/,,100,2016-10-18 16:58:38
2016-10-18 17:45:00,INT-39032/16,Parkowanie za B-36,BLOKADA,MENNICZA /,,100,2016-10-18 18:23:25
2016-10-18 18:30:00,INT-39034/16,Parkowanie za B-36,BLOKADA,BERNARDYŃSKA /,,100,2016-10-18 18:47:40
2016-10-18 18:35:00,INT-39035/16,Parkowanie na powierzchni wyłączonej z ruchu P-21,BLOKADA,JANICKIEGO /,,100,2016-10-18 18:50:42
2016-10-18 20:19:45,INT-39043/16,zablokowany wyjazd z posesji,NIEPRAWIDŁOWE PARKOWANIE,ROGOZIŃSKIEGO 18/2,SĄD,0,2016-10-18 22:14:27
