2017-04-27 12:24:54,INT-15380/17,parkowanie pojazdów na chodniku za znakiem zakazu ,NIEPRAWID?OWE,PARKOWANIE ,IN?YNIERSKA 32-52/ ,100,2017-04-27 14:51:52
2017-04-27 12:40:00,INT-15387/17,Parkowanie,za B-36 ,BLOKADA ,KAZIMIERZA WIELKIEGO / ,100,2017-04-27 12:46:13
2017-04-27 13:11:59,INT-15393/17,oko?o 10,samochodów parkuje w miejscu zakazu i na pasie zieleni niszcz?c ro?linno??.,NIEPRAWID?OWE PARKOWANIE ,GWIA?DZISTA 55/ ,100,2017-04-27 14:32:05
2017-04-27 13:11:59,INT-15393/17,oko?o 10 samochodów,parkuje w miejscu zakazu i na pasie zieleni niszcz?c ro?linno??.,NIEPRAWID?OWE PARKOWANIE ,GWIA?DZISTA 55/ ,0,2017-04-27 14:32:05
2017-04-27 14:00:00,INT-15502/17,DO.4042.450.2017.MMwspó?praca z W?iR  ,PORZ?DKOWA ,RYNEK RATUSZ 46-47/,S?D ,0,2017-05-22 15:41:43
2017-04-27 15:30:00,INT-15454/17,KONTROLA PARKOWANIA W D-40 ORAZ ZA B-1 ,NIEPRAWID?OWE PARKOWANIE ,PLAC,UNIWERSYTECKI / ,100,2017-04-27 18:59:30
2017-04-27 16:10:00,INT-15449/17,kontrola parkowania w strefie,D-40  ,NIEPRAWID?OWE PARKOWANIE ,NO?OWNICZA / ,100,2017-04-27 18:38:18
2017-04-27 17:45:27,INT-15442/17,parkowanie pojazdów za znakiem,zakazu ,NIEPRAWID?OWE PARKOWANIE ,PARTYNICKA 5/ ,0,2017-04-27 18:06:28
2017-04-27 20:16:15,INT-15461/17,MKK300art 72 kw niezabezpieczenie miejsca niebezpiecznego ,PORZ?DKOWA,ZWYCI?SKA 45/ ,MANDAT ,300,2017-05-04 17:02:17
2017-04-27 22:35:00,INT-15473/17,PARKOWANIE ZA D-40 W,MIEJSCACH NIE WYZNACZONYCH ,NIEPRAWID?OWE PARKOWANIE ,?W. ANTONIEGO / ,100,2017-04-28 04:11:51
2017-04-28 06:18:28,INT-15481/17,a Pereca  parkowanie,poj. bus  na skrzy?owaniu ograniczenie widoczno?ci oraz innych pojazdów,NIEPRAWID?OWE PARKOWANIE ,ALTANOWA / ,0,2017-04-28 08:17:02
2017-04-28 07:46:05,INT-15501/17,POJAZD NISSAN RRS8R91 ZAPARKOWANY NA RO?LINNO?CI ,NISZCZENIE ZIELENI,PA?UCKA 28/ ,0,,2017-04-28 08:52:18
2017-04-28 08:50:42,INT-15509/17,JAD?C OD BPI DO,SKYTAUER POJAZDY PRZY PRZEJ?CIU DLA PIESZYCH ,NIEPRAWID?OWE PARKOWANIE,GWIA?DZISTA / ,100,2017-04-28 10:21:10
2017-04-28 08:50:42,INT-15509/17,JAD?C OD BPI DO SKYTAUER POJAZDY PRZY PRZEJ?CIU DLA PIESZYCH,NIEPRAWID?OWE PARKOWANIE ,GWIA?DZISTA / ,0,,2017-04-28 10:21:10
2017-04-28 09:25:45,INT-15514/17,NA WYSYS. POLITECHNIKI POJAZDY NA,PASACH WY??CZONYCH Z RUCHU ,NIEPRAWID?OWE PARKOWANIE ,NORWIDA / ,100,2017-05-02 11:26:04
2017-04-28 09:30:00,INT-15557/17,wykorzystanie drogi niezgodnie z przeznaczeniem  ,NIEPRAWID?OWE PARKOWANIE,PLAC BEMA / ,100,,2017-04-28 13:38:24
