2018-04-13 17:01:43,INT-16034/18,oporowska a plac,srebrny pojazd marki renault parkuje na ca?ej szeroko?ci chodnika,NIEPRAWID?OWE PARKOWANIE ,OPOROWSKA / ,100,2018-04-13 18:10:53
2018-04-13 17:23:01,INT-16036/18,Pojazdy zaparkowane,za B-36 utrudniaj? ruch ,NIEPRAWID?OWE PARKOWANIE ,ZAK?ADOWA 9F-9H/ ,0,2018-04-13 18:32:07
2018-04-14 02:39:52,INT-16088/18,od Krupniczej do,?widnickiej za B-36 zaparkowane 4 auta ,NIEPRAWID?OWE PARKOWANIE,KAZIMIERZA WIELKIEGO / ,100,2018-04-14 05:53:45
2018-04-14 07:27:28,INT-16091/18,POJAZD PARKUJE NA,TRAWNIKU W PODWÓRKU (WJAZD OD UL. PANKIEWICZA  ,NISZCZENIE ZIELENI,OLSZEWSKIEGO 103-107/ ,500,2018-04-14 12:40:32
2018-04-14 07:27:28,INT-16091/18,POJAZD PARKUJE NA,TRAWNIKU W PODWÓRKU WJAZD OD UL. PANKIEWICZA  ,NISZCZENIE ZIELENI,OLSZEWSKIEGO 103-107/ ,0,2018-04-14 12:40:32
2018-04-14 12:35:00,INT-16194/18,kontrola parkowania,pojazdów na trawnikach ,NIEPRAWID?OWE PARKOWANIE ,WRÓBLEWSKIEGO / ,200,2018-04-14 20:18:50
2018-04-14 12:35:00,INT-16194/18,kontrola parkowania pojazdów na trawnikach ,NIEPRAWID?OWE PARKOWANIE,WRÓBLEWSKIEGO / ,0,,2018-04-14 20:18:50
2018-04-14 13:50:00,INT-16464/18,Kontrola handlu na p?ycie Rynku ,HANDEL ,RYNEK / ,MANDAT,300,2018-04-16 19:24:58
2018-04-14 14:10:00,INT-16333/18,Parkowanie na P21,NIEPRAWID?OWE PARKOWANIE ,NORWIDA / ,100,,2018-04-16 08:12:11
2018-04-14 14:20:00,INT-16524/18,Parkowanie na powierzchni wy??czonej z,ruchu znak P-21 ,BLOKADA ,WYSPIA?SKIEGO / ,100,2018-04-17 10:09:46
2018-04-14 19:05:58,INT-16190/18,parkowanie,pojazdu Audi na chodniku brak przej?cia ,NIEPRAWID?OWE PARKOWANIE,HENRYKOWSKA 7/ ,0,2018-04-15 02:22:37
2018-04-14 20:14:36,INT-16195/18,Nieupowa?nione pojazdy na TAXI. ,NIEPRAWID?OWE PARKOWANIE,PL.NANKIERA / ,0,,2018-04-14 23:33:39
2018-04-14 21:33:32,INT-16200/18,Pojazd typu Van za B-36. ,NIEPRAWID?OWE,PARKOWANIE ,KOMANDORSKA 163-169/ ,0,2018-04-15 01:01:38
2018-04-14 22:22:26,INT-16202/18,Parkowanie za B-36 4,pojazdy. ,NIEPRAWID?OWE PARKOWANIE ,MALARSKA / ,100,2018-04-15 01:02:25
2018-04-14 22:22:26,INT-16202/18,Parkowanie za B-36 4 pojazdy.,NIEPRAWID?OWE PARKOWANIE ,MALARSKA / ,0,,2018-04-15 01:02:25
2018-04-15 00:20:00,INT-16320/18,Parkowanie w,odleg?o?ci mniejszej ni? 10m od skrzyzowania ,NIEPRAWID?OWE PARKOWANIE,?AZIENNA / ,0,2018-04-16 06:44:32
2018-04-15 06:35:00,INT-16318/18,Parkowanie za B35,NIEPRAWID?OWE PARKOWANIE ,DRZEWIECKIEGO / ,100,,2018-04-16 06:03:26
2018-04-15 06:35:00,INT-16318/18,Parkowanie za B35 ,NIEPRAWID?OWE,PARKOWANIE ,DRZEWIECKIEGO / ,0,2018-04-16 06:03:26
2018-04-15 09:32:11,INT-16220/18,Parkowanie na P-21. ,NIEPRAWID?OWE,PARKOWANIE ,WYBRZE?E WYSPIA?SKIEGO / ,100,2018-04-15 09:36:13
2018-04-15 09:32:11,INT-16220/18,Parkowanie na P-21. ,NIEPRAWID?OWE,PARKOWANIE ,WYBRZE?E WYSPIA?SKIEGO / ,0,2018-04-15 09:36:13
2018-04-15 15:39:48,INT-16275/18,Wed?ug zg?oszenia ul. Karkonowska 49 stacja Lotos pojazd nieuprawniony na,"kopercie dla osoby niepe?nosprawnej, prawid?owo oznakowanej.",NIEPRAWID?OWE PARKOWANIE ,KARKONOSKA 49/ ,100,2018-04-15 18:44:14
2018-04-16 11:50:00,INT-16567/18,WJAZD ZA B-1  ,BEZPIECZE?STWO W KOMUNIKACJI ,SZEWSKA 61/62/ ,MANDAT ,50,2018-04-17 12:25:00
2018-04-16 12:24:18,INT-16387/18,PARKOWANIE NA,VOZILLI BEZ UPRAWNIE? ,BLOKADA ,RUSKA / ,100,2018-04-16 12:24:26
2018-04-16 14:20:00,INT-16439/18,kontrola,parkowania pojazdów w strefie zamieszkania poza miejscami wyznaczonymi,NIEPRAWID?OWE PARKOWANIE ,PLAC WOLNO?CI / ,100,2018-04-16 17:19:59
2018-04-16 14:20:00,INT-16439/18,kontrola parkowania pojazdów w,strefie zamieszkania poza miejscami wyznaczonymi ,NIEPRAWID?OWE PARKOWANIE,PLAC WOLNO?CI / ,0,2018-04-16 17:19:59
2018-04-16 16:03:17,INT-16429/18,nieprawid?owo zaparkowane pojazdy na jezdni w strefie zamieszkania poza,"miejscami wyznaczonymi, utrudniony przejazd ",NIEPRAWID?OWE PARKOWANIE,ZAK?ADOWA 9 E-G/ ,100,2018-04-16 16:58:49
2018-04-16 22:56:31,INT-16488/18,Na Dworcu Nadodrze,postój TAXI - dwa pojazdy nie uprawnione. ,NIEPRAWID?OWE PARKOWANIE,NADODRZE / ,0,2018-04-17 01:44:03
2018-04-17 09:07:53,INT-16509/18,Na,"chodniku stoi niebieski Opel, brak 1,5 m , stoi od oko?o 3 tygodni.",NIEPRAWID?OWE PARKOWANIE ,WYBICKIEGO 1/ ,0,2018-04-17 16:05:08
2018-04-17 09:10:43,INT-16510/18,zaporoska 23 a jantarowa pojazdy,"parkuj? na p-21 przy przej?ciu dla pieszych , utrudniaj? widoczno??",BEZPIECZE?STWO W KOMUNIKACJI ,ZAPOROSKA 73/ ,0,2018-04-17 15:08:30
2018-04-17 11:10:00,INT-16622/18,HANDEL ,HANDEL,JEMIO?OWA / ,MANDAT ,100,2018-04-17 17:04:20
2018-04-17 11:15:09,INT-16539/18,parkowanie za b-,36 ,BLOKADA ,?U?YCKA / ,0,2018-04-17 11:15:16
2018-04-17 11:25:09,INT-16543/18,parkowanie nie przy kraw?dzi jezdni ,NIEPRAWID?OWE,PARKOWANIE ,POMORSKA / ,100,2018-04-17 11:25:54
2018-04-17 11:36:17,INT-16548/18,parkowanie za B-35 ,NIEPRAWID?OWE,PARKOWANIE ,DRZEWIECKIEGO / ,0,2018-04-17 11:37:05
2018-04-17 11:49:35,INT-16555/18,PARKOWANIE NA,KOPERCIE VOZILLI BEZ UPRAWNIE? ,BLOKADA ,WYBRZE?E WYSPIA?SKIEGO / ,100,2018-04-17 11:50:02
2018-04-17 11:55:00,INT-16630/18,HANDEL,HANDEL ,ESTO?SKA / ,MANDAT ,100,2018-04-17 17:40:24
2018-04-17 12:10:47,INT-16560/18,PARKOWANIE ZA B-,36 ,BLOKADA ,BUJWIDA / ,0,2018-04-17 12:11:19
2018-04-17 12:46:52,INT-16573/18,autobus parkuje na chodnikupojazdy parkuj? za b-36 ,NIEPRAWID?OWE,PARKOWANIE ,CYBULSKIEGO 33-41/ ,100,2018-04-17 15:28:50
2018-04-17 12:55:00,INT-16647/18,kontola parkowania pojazdów na trawniku,NIEPRAWID?OWE PARKOWANIE ,PRZYJA?NI / ,0,,2018-04-17 18:41:53
2018-04-17 14:25:00,INT-16597/18,KONTROLA,PARKOWANIA POJAZDÓW W ZATOCE MPK ,NIEPRAWID?OWE PARKOWANIE ,KUTRZEBY / ,0,2018-04-17 14:48:32
2018-04-17 16:00:34,INT-16608/18,pojazdy parkuj? za b-,36 ,NIEPRAWID?OWE PARKOWANIE ,CYBULSKIEGO 39/ ,100,2018-04-17 16:10:32
2018-04-17 16:00:34,INT-16608/18,pojazdy parkuj? za b-36,NIEPRAWID?OWE PARKOWANIE ,CYBULSKIEGO 39/ ,50,,2018-04-17 16:10:32
2018-04-18 08:10:00,INT-17140/18,NIEPRAWID?OWE PARKOWANIE ,NIEPRAWID?OWE PARKOWANIE ,?CINAWSKA /,OSTRZE?ENIE ,0,2018-04-20 18:00:38
