2018-05-10 00:28:42,INT-19533/18,parkowanie pojazdów za B-36,NIEPRAWIDŁOWE PARKOWANIE,ZAKŁADOWA 9H/,100,,2018-05-10 02:10:55
2018-05-10 00:28:42,INT-19533/18,parkowanie pojazdów za B-36,NIEPRAWIDŁOWE PARKOWANIE,ZAKŁADOWA 9H/,0,,2018-05-10 02:10:55
2018-05-10 01:47:34,INT-19536/18,"parkownie 4 pojazdów poza miejscem wyznaczonym, osoba zgłaszająca poinformowana, że interwencja zostanie podjęta na I zmianie",NIEPRAWIDŁOWE PARKOWANIE,RODZINNA 23/,100,,2018-05-10 10:22:56
2018-05-10 01:47:34,INT-19536/18,"parkownie 4 pojazdów poza miejscem wyznaczonym, osoba zgłaszająca poinformowana, że interwencja zostanie podjęta na I zmianie",NIEPRAWIDŁOWE PARKOWANIE,RODZINNA 23/,0,,2018-05-10 10:22:56
2018-05-10 07:17:25,INT-19541/18,a paczkowska parkowanie pojazdów na skrzyżowaniu,NIEPRAWIDŁOWE PARKOWANIE,SERNICKA /,0,,2018-05-10 13:07:10
2018-05-10 07:25:14,INT-19542/18,A CZARNIECKIEGO PARKOWANIE POJAZDÓW NA SKRZYŻOWANIU,NIEPRAWIDŁOWE PARKOWANIE,LUBIŃSKA /,100,,2018-05-10 09:46:26
2018-05-10 07:25:14,INT-19542/18,A CZARNIECKIEGO PARKOWANIE POJAZDÓW NA SKRZYŻOWANIU,NIEPRAWIDŁOWE PARKOWANIE,LUBIŃSKA /,0,,2018-05-10 09:46:26
2018-05-10 08:10:00,INT-19588/18,pojazd parkuje w odległosci mniejszej niz 10 m od przejscia dla pieszych,NIEPRAWIDŁOWE PARKOWANIE,SUWALSKA /,100,,2018-05-10 12:00:38
2018-05-10 08:25:00,INT-20301/18,NISZCZENIE ZIELENI,NIEPRAWIDŁOWE PARKOWANIE,TCZEWSKA /,OSTRZEŻENIE,0,2018-05-15 16:25:09
2018-05-10 08:27:30,INT-19549/18,Joannitów 18-22 przy parkingu płatnym oraz cały odcinek lewej strony ulicy Łaziennej - w obu miejscach stoi na chwilę obecną po kilka aut. ,NIEPRAWIDŁOWE PARKOWANIE,JOANNITÓW 18-22/,100,,2018-05-10 14:17:00
2018-05-10 08:27:30,INT-19549/18,Joannitów 18-22 przy parkingu płatnym oraz cały odcinek lewej strony ulicy Łaziennej - w obu miejscach stoi na chwilę obecną po kilka aut. ,NIEPRAWIDŁOWE PARKOWANIE,JOANNITÓW 18-22/,0,,2018-05-10 14:17:00
