Data Godzina,Numer,Opis,Typ,Miejsce,Status,Kwota Mandatu,Data Zakończenia
2018-02-16 08:38:33,INT-06623/18,Jesionowa-Nyska  (dojazd do osiedla) trzy pojazdy zaparkowane na całej szerokości chodnika utrudniają przejście,NIEPRAWIDŁOWE PARKOWANIE,JESIONOWA /,0,,2018-02-16 11:50:22
2018-02-16 09:10:00,INT-06669/18,kontrola ruchu za B1 z policjantem WRD,BEZPIECZEŃSTWO W KOMUNIKACJI,MOSTY MŁYŃSKIE /,MANDAT,100,2018-02-16 13:05:29
2018-02-16 10:10:00,INT-06662/18,SKRZYZOWANIE Z UL NABYCIŃSKA POJAZDY ZAPARKOWANE NIE PRZY KRAWEDZI JEZDNI,BLOKADA,LEGNICA /,100,,2018-02-16 12:32:13
2018-02-16 10:13:04,INT-06634/18,Pojazdy zaparkowane w strefie zamieszkania poza miejscami wyznaczonymi utrudniają ruch,NIEPRAWIDŁOWE PARKOWANIE,TĘCZOWA 91/,MANDAT,100,2018-02-19 10:22:06
2018-02-16 10:13:04,INT-06634/18,Pojazdy zaparkowane w strefie zamieszkania poza miejscami wyznaczonymi utrudniają ruch,NIEPRAWIDŁOWE PARKOWANIE,TĘCZOWA 91/,MANDAT,0,2018-02-19 10:22:06
2018-02-16 10:22:36,INT-06636/18,"Samochody na trawniku,dziś 20 szt.",NISZCZENIE ZIELENI,ORZECHOWA 53-61/,0,,2018-02-16 13:14:02
2018-02-16 10:55:00,INT-06637/18,Podwale -Łakowa dwa pojazdy zaparkowane na P-21.,NIEPRAWIDŁOWE PARKOWANIE,PODWALE /,0,,2018-02-16 11:13:01
2018-02-16 11:05:00,INT-06692/18,"postój na chodniku brak 1,5 metra",NIEPRAWIDŁOWE PARKOWANIE,JORDANOWSKA /,WEZWANIE,100,2018-02-16 15:00:39
2018-02-16 11:27:35,INT-06645/18,Pojazdy zaparkowane na cełej szerokości chodnika utrudniają przejście,NIEPRAWIDŁOWE PARKOWANIE,WIELKA 53/,300,,2018-02-16 13:08:36
2018-02-16 13:40:23,INT-06676/18,Pawłowa -Piłsudskiego pojazdy zaparkowane na środku jezdni utrudniają ruch,NIEPRAWIDŁOWE PARKOWANIE,PAWŁOWA /,400,,2018-02-16 14:39:24
2018-02-16 13:45:00,INT-06739/18,PARKOWANIE POJAZDU ZA B 36 ,NIEPRAWIDŁOWE PARKOWANIE,PL.SOLNY /,MANDAT,100,2018-02-16 20:17:47
2018-02-16 14:38:20,INT-06691/18,Sernicka-Paczkowska pojazdy zaparkowane na skrzyżowaniu utrudniają ruch,NIEPRAWIDŁOWE PARKOWANIE,SERNICKA /,0,,2018-02-16 15:51:57
