2016-09-06 06:53:42,INT-33624/16,kontrola wozów asenizacyjnych związana z akcją ekologiczne miasto,PORZĄDKOWA,JANOWSKA /,MANDAT,200,2016-09-08 09:31:06
2016-09-06 07:20:37,INT-33429/16,Pojazdy nieuprawnione zaparkowane na postoju TAXI.,NIEPRAWIDŁOWE PARKOWANIE,SĘPA SZARZYŃSKIEGO /,0,,2016-09-06 09:34:58
2016-09-06 08:21:36,INT-33435/16,PARKOWANIE ZA D-40 W MIEJSCU NIE WYZNACZONYM,NIEPRAWIDŁOWE PARKOWANIE,CHRZANOWSKIEGO /,100,,2016-09-06 11:36:29
2016-09-06 09:10:00,INT-36168/16,niezastosowanie się do -b-1,BEZPIECZEŃSTWO W KOMUNIKACJI,MOSTY MŁYŃSKIE /,SĄD,0,2016-09-27 14:42:26
2016-09-06 09:45:00,INT-33629/16,Kontrole wozów asenizacyjnych w ramach akcji ekologiczne miasto,PORZĄDKOWA,JANOWSKA /,MANDAT,100,2016-09-08 09:31:29
2016-09-06 09:51:33,INT-33444/16,A CIEPŁA HANDEL NA TERENIE GMINNYM,HANDEL,GLINIANA /,50,,2016-09-06 11:00:27
2016-09-06 09:56:17,INT-33446/16,HANDEL BEZ ZEZWOLENIA,HANDEL,JEMIOŁOWA /,50,,2016-09-06 12:23:59
2016-09-06 09:58:13,INT-33447/16,A KOMANDORSKA POJAZDY BEZ UPRAWNIEŃ NA POSTOJU TAXI,NIEPRAWIDŁOWE PARKOWANIE,BOGUSŁAWSKIEGO /,100,,2016-09-06 11:21:49
2016-09-06 10:15:00,INT-33500/16,"Pl.Muzealny, a ul.Świebodzka kontrola parkowania na powierzchni wyłączonej z ruchu P-21",NIEPRAWIDŁOWE PARKOWANIE,PLAC MUZEALNY /,100,,2016-09-06 14:31:59
2016-09-06 10:15:00,INT-33500/16,"Pl.Muzealny, a ul.Świebodzka kontrola parkowania na powierzchni wyłączonej z ruchu P-21",NIEPRAWIDŁOWE PARKOWANIE,PLAC MUZEALNY /,0,,2016-09-06 14:31:59
2016-09-06 10:46:48,INT-33450/16,HANDEL W ZATOCE NA TER. GMINNYM,HANDEL,KAMIEŃSKIEGO 190/,50,,2016-09-06 21:14:11
2016-09-06 11:30:00,INT-33502/16,kontrola parkowania za znakiem B-36 oraz na P-21,NIEPRAWIDŁOWE PARKOWANIE,BAŁUCKIEGO /,100,,2016-09-06 14:34:06
2016-09-06 11:30:00,INT-33502/16,kontrola parkowania za znakiem B-36 oraz na P-21,NIEPRAWIDŁOWE PARKOWANIE,BAŁUCKIEGO /,300,,2016-09-06 14:34:06
2016-09-06 11:31:51,INT-33461/16,POJAZDY ZA B-36,NIEPRAWIDŁOWE PARKOWANIE,BIAŁOWIESKA 4/,100,,2016-09-14 09:15:03
2016-09-06 11:31:51,INT-33461/16,POJAZDY ZA B-36,NIEPRAWIDŁOWE PARKOWANIE,BIAŁOWIESKA 4/,0,,2016-09-14 09:15:03
2016-09-06 12:00:00,INT-34608/16,handel na terenie gminy bez zezwolenia.,HANDEL,STRZEGOMSKA /,200,,2016-09-14 08:30:36
2016-09-06 12:00:00,INT-34612/16,handel na ternie gminy bez zezwolenia.,HANDEL,ESTOŃSKA /,100,,2016-09-14 08:36:56
2016-09-06 12:56:29,INT-33472/16,przejscie w miejscu niedozwolonym,BEZPIECZEŃSTWO W KOMUNIKACJI,PIŁSUDSKIEGO /,50,,2016-09-06 12:57:12
2016-09-06 12:58:42,INT-33473/16,parkowanie na kopercie dla osób niepełnosprawnych bez zezwolenia,LAWETY,ŚWIEBODZKA /,500,,2016-09-06 19:11:34
2016-09-06 13:05:31,INT-33475/16,parkowanie na p-21,BLOKADA,POWSTAŃCÓW ŚLĄSKICH /,100,,2016-09-06 13:05:49
2016-09-06 13:07:29,INT-33477/16,parkowanie na postoju TAXI bez uprawnień,BLOKADA,SANOCKA /,100,,2016-09-06 13:07:58
2016-09-06 13:09:39,INT-33478/16,parkowanie za b-36,BLOKADA,PRETFICZA /,100,,2016-09-06 13:09:44
2016-09-06 13:12:25,INT-33479/16,POJAZDY NA TRAWNIKU NA CAŁEJ DŁUGOŚCI ULICY NISZCZĄ ROŚLINNOŚĆ,NISZCZENIE ZIELENI,OPALOWA /,0,,2016-09-06 15:31:52
2016-09-06 13:21:57,INT-33481/16,A PIŁSUDSKIEGO HANDEL ORAZ PL. LEGIONÓW PRZY KSIĘGARNI ,HANDEL,PL. ORLĄT LWOWSKICH /,50,,2016-09-06 17:46:58
2016-09-06 13:28:15,INT-33482/16,NA CHODNIKU HANDEL BEZ ZEZWOLENIA,HANDEL,HORBACZEWSKIEGO 15/,50,,2016-09-14 08:42:41
2016-09-06 13:35:59,INT-33488/16,PARKOWANIE ZA B-36,BLOKADA,WŁODKOWICA /,100,,2016-09-06 13:35:59
2016-09-06 13:35:59,INT-33488/16,PARKOWANIE ZA B-36,BLOKADA,WŁODKOWICA /,0,,2016-09-06 13:35:59
2016-09-06 13:50:00,INT-33539/16,Kontrola spożywania alkoholu na ławce na Promenadzie Staromiejskiej,SPOŻYWANIE ALKOHOLU,PROMENADA STAROMIEJSKA /,SĄD REJONOWY,0,2016-09-06 18:38:04
