2018-07-06 00:10:00,INT-27379/18,parkowanie za B-36,BLOKADA,WŁODKOWICA /,100,,2018-07-06 07:23:22
2018-07-06 00:55:00,INT-27377/18,PARKOWANIE ZA B-36,BLOKADA,MALARSKA /,100,,2018-07-06 07:13:04
2018-07-06 07:41:41,INT-27382/18,"Dwa pojazdy Skoda, Citroen przy Pizza zablokowały chodnik.",NIEPRAWIDŁOWE PARKOWANIE,DĄBROWSKIEGO /,100,,2018-07-06 08:23:13
2018-07-06 08:25:39,INT-27384/18,"Według zgłaszającej przy hotelu Vega dwóch mężczyzn wycina suche drzewo , wykonują prace bez zabezpieczenia miejsca, jeden z nich zrzuca z góry duże konary wprost na chodnik",WYCINKA DRZEW,GRABISZYŃSKA 251A/,POUCZENIE,0,2018-07-06 09:30:55
2018-07-06 08:31:14,INT-27385/18,Horbaczewskiego naprzeciw wjazdu do DH Astra pojazdy zaparkowane na trawniku niszczą zieleń,NISZCZENIE ZIELENI,HORBACZEWSKIEGO /,0,,2018-07-06 09:00:06
2018-07-06 08:46:53,INT-27386/18,Pojazd VW zaparkowany na trawniku niszczy zieleń,NISZCZENIE ZIELENI,INŻYNIERSKA 80-84/,0,,2018-07-06 09:28:21
2018-07-06 08:55:00,INT-27426/18,niszczenie zieleni,NISZCZENIE ZIELENI,HORBACZEWSKIEGO /,WEZWANIE,0,2018-07-06 13:17:05
2018-07-06 09:05:00,INT-27432/18,NISZCZENIE ZIELENI,NISZCZENIE ZIELENI,HORBACZEWSKIEGO /,WEZWANIE,0,2018-07-06 13:32:21
2018-07-06 09:20:00,INT-27757/18,parkowanie na kopercie MWSE,NIEPRAWIDŁOWE PARKOWANIE,HERCENA /,100,,2018-07-10 11:34:30
2018-07-06 09:22:32,INT-27389/18,Pojazdy za B-36.,NIEPRAWIDŁOWE PARKOWANIE,FABRYCZNA 14/,100,,2018-07-06 12:32:47
2018-07-06 09:37:29,INT-27391/18,Gliniana-Ciepła handel owocami na terenie gminy,HANDEL,GLINIANA /,MANDAT,50,2018-07-06 11:48:55
2018-07-06 09:58:24,INT-27394/18,Orla-Sępia pojazd Honda pozostawiony na skrzyżowaniu utrudnia ruch,NIEPRAWIDŁOWE PARKOWANIE,ORLA /,0,,2018-07-06 11:27:57
2018-07-06 10:00:00,INT-27371/18,brak zabezpieczenia miejsca niebezpiecznego (wykop pas drogowy),PORZĄDKOWA,MOŚCICKIEGO 42/,MANDAT,300,2018-07-06 06:46:53
2018-07-06 10:01:24,INT-27396/18,Gliniana-Gajowa handel owocami iwarzywami na terenie gminyZO.4043.2.2018.JR SPRAWĘ PRZEKAZANO DO REFERATU WYKROCZEŃ.,HANDEL,GLINIANA /,SĄD REJONOWY,0,2018-07-18 08:32:53
2018-07-06 11:29:01,INT-27406/18,Pojazdy zaparkowane w strefie zamieszkania poza miejscami wyznaczonymi,NIEPRAWIDŁOWE PARKOWANIE,STRZEGOMSKA 3B-3C/,0,,2018-07-06 12:40:37
2018-07-06 11:54:05,INT-27410/18,Pojazdy zaparkowane za B-36 utrudniają ruch,NIEPRAWIDŁOWE PARKOWANIE,KRAWIECKA /,MANDAT,100,2018-07-06 15:54:05
2018-07-06 12:39:22,INT-27414/18,Pojazdy zaparkowane w strefie zamieszkania poza miejscami wyznaczonymi,NIEPRAWIDŁOWE PARKOWANIE,BULWAR DEDALA 17/,100,,2018-07-06 15:24:42
